country,cum.deaths,date.POSIXct
World,3,2020-01-19T07:00:00Z
China,3,2020-01-19T07:00:00Z
World,6,2020-01-20T07:00:00Z
China,6,2020-01-20T07:00:00Z
World,6,2020-01-21T07:00:00Z
China,6,2020-01-21T07:00:00Z
World,6,2020-01-22T07:00:00Z
China,6,2020-01-22T07:00:00Z
World,17,2020-01-23T07:00:00Z
China,17,2020-01-23T07:00:00Z
World,23,2020-01-24T07:00:00Z
China,23,2020-01-24T07:00:00Z
World,41,2020-01-25T07:00:00Z
China,41,2020-01-25T07:00:00Z
World,56,2020-01-26T07:00:00Z
China,56,2020-01-26T07:00:00Z
World,80,2020-01-27T07:00:00Z
China,80,2020-01-27T07:00:00Z
World,106,2020-01-28T07:00:00Z
China,106,2020-01-28T07:00:00Z
World,132,2020-01-29T07:00:00Z
China,132,2020-01-29T07:00:00Z
World,170,2020-01-30T07:00:00Z
China,170,2020-01-30T07:00:00Z
World,213,2020-01-31T07:00:00Z
China,213,2020-01-31T07:00:00Z
World,259,2020-02-01T07:00:00Z
Countries,1,2020-02-01T07:00:00Z
China,259,2020-02-01T07:00:00Z
World,305,2020-02-02T07:00:00Z
Countries,2,2020-02-02T07:00:00Z
China,304,2020-02-02T07:00:00Z
Philippines,1,2020-02-02T07:00:00Z
World,362,2020-02-03T07:00:00Z
Countries,2,2020-02-03T07:00:00Z
China,361,2020-02-03T07:00:00Z
Philippines,1,2020-02-03T07:00:00Z
World,426,2020-02-04T07:00:00Z
Countries,2,2020-02-04T07:00:00Z
China,425,2020-02-04T07:00:00Z
Philippines,1,2020-02-04T07:00:00Z
World,492,2020-02-05T07:00:00Z
Countries,2,2020-02-05T07:00:00Z
China,491,2020-02-05T07:00:00Z
Philippines,1,2020-02-05T07:00:00Z
World,565,2020-02-06T07:00:00Z
Countries,2,2020-02-06T07:00:00Z
China,564,2020-02-06T07:00:00Z
Philippines,1,2020-02-06T07:00:00Z
World,638,2020-02-07T07:00:00Z
Countries,2,2020-02-07T07:00:00Z
China,637,2020-02-07T07:00:00Z
Philippines,1,2020-02-07T07:00:00Z
World,724,2020-02-08T07:00:00Z
Countries,2,2020-02-08T07:00:00Z
China,723,2020-02-08T07:00:00Z
Philippines,1,2020-02-08T07:00:00Z
World,813,2020-02-09T07:00:00Z
Countries,2,2020-02-09T07:00:00Z
China,812,2020-02-09T07:00:00Z
Philippines,1,2020-02-09T07:00:00Z
World,910,2020-02-10T07:00:00Z
Countries,2,2020-02-10T07:00:00Z
China,909,2020-02-10T07:00:00Z
Philippines,1,2020-02-10T07:00:00Z
World,1018,2020-02-11T07:00:00Z
Countries,2,2020-02-11T07:00:00Z
China,1017,2020-02-11T07:00:00Z
Philippines,1,2020-02-11T07:00:00Z
World,1115,2020-02-12T07:00:00Z
Countries,2,2020-02-12T07:00:00Z
China,1114,2020-02-12T07:00:00Z
Philippines,1,2020-02-12T07:00:00Z
